action_pair,difference_band,power_context,outcome_code,phase_winner,counter_dmg_A,counter_dmg_B,effect_A,effect_B,base_weight,narrative_pool_tag,is_fatal
ATK_ATK,DEFAULT,DEFAULT,ATK_ATK_DEFAULT_INTERCAMBIO_BRUSCO,NONE,1.0,1.0,NULL,NULL,0.6,ATK_ATK_INTERCAMBIO_BRUSCO,0
ATK_ATK,DEFAULT,DEFAULT,ATK_ATK_DEFAULT_VENTAJA_LEVE_A,A,0.5,1.0,NULL,NULL,0.25,ATK_ATK_VENTAJA_LEVE_A,0
ATK_ATK,DEFAULT,DEFAULT,ATK_ATK_DEFAULT_VENTAJA_LEVE_B,B,1.0,0.5,NULL,NULL,0.15,ATK_ATK_VENTAJA_LEVE_B,0
ATK_DEF,DEFAULT,DEFAULT,ATK_DEF_DEFAULT_BLOQUEO_TENSO,B,0.0,0.5,NULL,NULL,0.45,ATK_DEF_BLOQUEO_TENSO,0
ATK_DEF,DEFAULT,DEFAULT,ATK_DEF_DEFAULT_IMPACTO_CONTROLADO,A,0.0,1.0,NULL,NULL,0.4,ATK_DEF_IMPACTO_CONTROLADO,0
ATK_DEF,DEFAULT,DEFAULT,ATK_DEF_DEFAULT_CONTRA_CORTA,B,0.5,0.0,POS_DESFAVORABLE,CONTRA_EXITOSO,0.15,ATK_DEF_CONTRA_CORTA,0
DEF_ATK,DEFAULT,DEFAULT,DEF_ATK_DEFAULT_BLOQUEO_TENSO,A,0.5,0.0,NULL,NULL,0.45,DEF_ATK_BLOQUEO_TENSO,0
DEF_ATK,DEFAULT,DEFAULT,DEF_ATK_DEFAULT_IMPACTO_CONTROLADO,B,1.0,0.0,NULL,NULL,0.4,DEF_ATK_IMPACTO_CONTROLADO,0
DEF_ATK,DEFAULT,DEFAULT,DEF_ATK_DEFAULT_CONTRA_CORTA,A,0.0,0.5,CONTRA_EXITOSO,POS_DESFAVORABLE,0.15,DEF_ATK_CONTRA_CORTA,0
DEF_DEF,DEFAULT,DEFAULT,DEF_DEF_DEFAULT_TANTEO,NONE,0.0,0.0,NULL,NULL,0.55,DEF_DEF_TANTEO,0
DEF_DEF,DEFAULT,DEFAULT,DEF_DEF_DEFAULT_REPOSICION_A,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.25,DEF_DEF_REPOSICION_A,0
DEF_DEF,DEFAULT,DEFAULT,DEF_DEF_DEFAULT_REPOSICION_B,B,0.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.2,DEF_DEF_REPOSICION_B,0
ATK_INT,DEFAULT,DEFAULT,ATK_INT_DEFAULT_GOLPEA_MANIOBRA,A,0.0,1.0,NULL,NULL,0.5,ATK_INT_GOLPEA_MANIOBRA,0
ATK_INT,DEFAULT,DEFAULT,ATK_INT_DEFAULT_INT_ESQUIVA_ACTIVA,B,0.5,0.0,NULL,POS_FAVORABLE,0.3,ATK_INT_INT_ESQUIVA_ACTIVA,0
